submission_number,submitter_name_anonymized,snowplow_name,meaning,winning_name
57,jIrSTMQA,the syracuse snowbilizer,It's a cross between snow and mobilizer - the plows are mobilized to move the snow off the roads of Syracuse,FALSE
58,oUI37wwX,dozer,It is it,FALSE
59,riNlDKHv,the kraken !,"BECAUSE NOBODY MESSES WITH THE ""KRAKEN!""",FALSE
60,qh1wKEtS,ava lanche,avalanche,FALSE
61,1JZfNYnN,snowy mcplowface,All good stuff!,FALSE
62,2e55C7Hv,plowy mcplowface,Memes,FALSE
63,eBolwQSo,syracuse winged warriors,"Snow plows have wings that help them clear the roads, and the people inside those plows are warriors",TRUE
64,LF9lIFf1,bambam,From Flinstones. Mighty little dude!,FALSE
65,kqELaPa1,socialism  works,Plowing streets is something we all pay for and all benefit from. It is socialism at work.,FALSE
66,Hquq2B19,nieves   pronounced  knee aye vase  (also like reindeer names!),It is Spanish for snow,FALSE
67,B4LEjpOy,snowpiercer,"Like the movie train, barreling through the arctic dystopian wastes. Like here.",FALSE
68,MAGAxzEL,angus,"ýýý The name Angus is a boy's name of Scottish, Scottish Gaelic origin meaning ""one strengthï¿½",FALSE
69,wOrKO7XI,the fuck truck,That would be funny af my guy,FALSE
70,Mz97TyTi,the grinch,"A person/a snow plow lol, Who is mean spirited and unfriendly to the Snow.",FALSE
71,ZihQmbcG,golden snowball unlimited,Homage to the Golden Snowball Awards Syracuse has won.,TRUE
72,mrhcKaBu,plowy mcplowface,https://en.wikipedia.org/wiki/Boaty_McBoatface,FALSE
73,gLCQVFot,k9 nik. ( you could just use nik),K9 Nik is a retired (2019) Syracuse Police dog who did amazing work for the City of Syracuse.,FALSE
74,fkdCSitU,little brenbren,call him this to this very day. He still loves snowplows and would be honored,FALSE
75,F8say6lP,tank,"It was the name given to our dog by his breeder. He is a big, tough guy and he always keeps our family safe.",FALSE
76,DnLGGX3A,little brenbren,Brenbren. This made me think of him.,FALSE
77,eBolwQSo,blizzard busters,"When there is a big storm, these workers respond in a big way to ensure that roads remain open to essential traffic",FALSE
78,MAGAxzEL,khione,ýýý Khione is the Greek goddess of snowýýý,FALSE
79,oUI37wwX,persister,It is it,FALSE
80,jsJOgxir,olivia kim lewis,It is the name of someone very important to me,FALSE
81,bmP0ev7X,cuomo's dried cum dispenser,cause y'all use way to much goddamned salt and it melted my fucking saab,FALSE
82,TYyAsKYg,plowy mcplowface,It is a plow,FALSE
83,oUI37wwX,snow hog,It is it,FALSE
84,oUI37wwX,scoop,It is it,FALSE
85,WRVHnx6j,plowy mcplowface,It is Boaty McBoatface's 3rd cousin.,FALSE
86,TZ1pWZfn,chevy silverado,"I've been in one, I've seen the stats",FALSE
87,oUI37wwX,digger,It is it,FALSE
88,Q3hD6g8N,emancipation,Freedom from snow,FALSE
89,nUQd0R2X,samirin diisnuts,Because it would make me laugh,FALSE
90,9ro7O25A,silas,"choking on his food the day before his first birthday. He was hospitalized from June 23, 2016- August 15, 2016. Due to his brain",FALSE
91,FO3klY7P,salt potatoes,Itï¿½ï¿½ï¿½s an iconic food for greater Syr,FALSE
92,oUI37wwX,wipeout,It is it,FALSE
93,F8say6lP,big joe,Crouse NICU and was the ambassador for the March of Dimes last year. He is a tough dude. He loves trucks and would LOVE,FALSE
94,qB0O5ZPa,kilroy is here,(ala the snow),FALSE
95,7zZrdOQP,plowy mcplowface,They named a boat Boaty McBoatface and it won!,FALSE
96,N49m9air,snowey mcshoverton,The Syracuse version of Boaty McBoatface,FALSE
97,MAGAxzEL,liam,ýýý Liam: Irish ýýý Strong-willed warrior and protectorýýý,FALSE
98,LUNa08Oa,plowy mcplowface,You know,FALSE
99,VfOihNtB,syracuse sun !ï¿½ï,They cleared the streets!ï¿½ï¿½ï¿½ï¿½,FALSE
100,MAGAxzEL,rudolph,Fun winter name for all!,FALSE
101,oUI37wwX,tapout,Itisit,FALSE
102,7mhVen5T,the beast,away so it can clear the roads for the public safety. I know the problem first hand and I feel bad for the crew.,FALSE
103,NW5dp967,santa's 9 reindeers.  the tenth would be blitzen ii,The names of Santa's reindeers with the tenth being Blitzen II.,FALSE
104,BXQrnVwB,NA,Plowy McPlowFace,NA
105,oUI37wwX,snow plunder,It is it,FALSE
106,71BqeTe9,stay salty,"We're the salt city, they're salt trucks",FALSE
107,5O8IjeEY,buster,Because he BUSTS through whatever Mother Nature throws at him,FALSE
108,NW5dp967,donald ransom,"DPW worker died in the line of duty in 2007, with permission form family.",FALSE
109,5Fgl12oG,running late,Never on time,FALSE
110,vzxKL2WZ,one big shovel,Self explanatory,FALSE
111,Kax3za8H,salty mcplowface,"Salt is part of this city's rich history, plus it will be salting our roads. Plus we all get a little salty by the end of winter.",FALSE
112,VKxhhrSZ,little brenbren,him Little Brenbren. I think this would be a fantastic tribute.,FALSE
113,t0gFBlMc,chilly billy,rhymes with Chilly and really just rolls of the tongue.,FALSE
114,GIXkTGx2,pushy mcpusherson,Itï¿½ï¿½ï¿½s,FALSE
115,71BqeTe9,blizzard buster,Plows save us in blizzards,FALSE
116,keHDZRAK,cano,Nickname of a friend who works for the city,FALSE
117,71BqeTe9,itsy bitsy teeny weeny yellow snow plowing machiney,Cute little pun on song and machine,FALSE
118,s8vyJsQd,snowy mcsnowplow,Cousin to Boaty McBoatface,FALSE
119,wOrKO7XI,plowy mcplowface,"A classic ancestral name, passed down for generations. On a serious note, google ""Boaty McBoatface"" and read that story.",FALSE
120,AUidFXWu,plowy mcplowface,It is the way,FALSE
121,m4AFsRGu,blizzard wizard,Getting rid of the effects of a blizzard like magic,FALSE
122,5yN2vmuZ,snowy mcsnow-face,It's fun,FALSE
123,NW5dp967,cuse beast,we have a lot of in Syracuse... SNOW!,FALSE
124,yWPKwNut,noise of night.,The plows are very loud,FALSE
125,71BqeTe9,left lane camper,For when 2 plows take up an entire highway,FALSE
126,WpAO6JLJ,plowy mcplowface,Named after the British national boat named Boaty McBoatface on the RSS David Attenborough,FALSE
127,OVqVsGTH,plowie mcplowface,"It's a fun play on the""Boaty McBoatface"" name selected for a British research vessel in 2016",FALSE
128,0CitlHiF,undaunted,Because that is how Syracuse approaches winter!,FALSE
129,GeB8pW9i,plowy mac plow-face,He's a plow,FALSE
130,CjlnBaGA,the snow day destroyer,Perhaps there will fewer snow day from school if  there are better plows,FALSE
131,0CitlHiF,intrepid,Because CNY will not be intimidated!,FALSE
132,KqxRhbDv,snowy mcsnow truck,"Boaty McBoatface, but you know snow plow",FALSE
133,0CitlHiF,fortitude,Strength in the face of winter!,FALSE
134,rcE4xa5U,eddie,Itï¿½ï¿½ï¿½s the name of one of your longtime d,FALSE
135,0CitlHiF,excelsior,Onward and upward through the snow!,FALSE
136,GUzI9sM8,plowy mcplowface,It's an old family name,FALSE
137,zb2VwRYc,the salty juggernaut,"Snow plows are huge, indomitable beasts of a vehicle. And they spread salt - which is something Syracuse is known for.",FALSE
138,P4h6rDhB,salt shaker,"Salt is white like snow, and Syracuse is also known as the ""Salt City"" due to the salt industry early in the city's history.",FALSE
139,k33mR15c,dale. -over here over dale,Family,FALSE
140,KERBLpH9,big bertha,Grandmother name/ my middle name,FALSE
141,nFOstjB5,salty sandy,They lay salt and sand,FALSE
142,0CitlHiF,snowy mcsnowplow,"Because, of course!",FALSE
143,vzxKL2WZ,plower to the people,Current events,FALSE
144,KATSmYLW,plowy mcplowface,Internet,FALSE
145,P4b67si4,scoop,"Stephen ""Scoop"" Jardine who played for HOF Coach Boeheim from 2007ï¿½ï¿½ï¿½08 to 2011ï¿½ï¿½ï""SCOOP-ing"", of course, is",FALSE
146,1V3JoDMl,little floyd,Cuse legend Floyd Little,FALSE
147,90BfQUnD,alberta clipper,Syracuse experiences Alberta Clippers!  This snow plow would represent the awesomeness of these systems!,FALSE
148,0co3wvfx,plowy mcplowface,After Boaty,FALSE
149,UPswAF0K,plowee mcplowface,This name is whimsical and child-friendly.,FALSE
150,gpsxnYSu,s'now school tomorrow,"It's a play on words - if the plows are out, there's a chance there would be enough snow for a school closing or delay!",FALSE
151,k5YRItGN,snowy mcsnowface,Boaty McBoatface,FALSE
152,UPswAF0K,edgeward snowdone,It's a play on Edward Snowdon's name.,FALSE
153,HQ5qkFKe,salty,Because its the salt  that does the work  really,FALSE
154,kWLAoLqg,mr. plow,It is the Best Simpsons Episode ever,FALSE
155,UPswAF0K,the driveway blocker,The plow always ends up blocking the end of my driveway,FALSE
156,CjlnBaGA,big orange,They are painted orange and it goes along with Syracuse University,FALSE
157,rvJtmne2,otto,Heï¿½ï¿½ï¿½s the Syracuse ,FALSE
158,bGUhP3xE,dr. anthony plow-ci,"In honor of Dr. Anthony Fauci, who has played a critical role in guiding our nation through the COVID-19 pandemic.",FALSE
159,wOrKO7XI,plowy mcplowface,"Itï¿½ï¿½ï¿½s a plow, makes",FALSE
160,BwvtdI39,plowie mcplowser,When United Kingdom had similar contest the winner was Boatee McBoatface.,FALSE
161,nSdDQl6E,king blizzard plower,Syracuse's snowiest city in USA for years.,FALSE
162,5n4I9smO,dont live in city,Suggestion - Have a parade around Clinton Square and Give winners the first ride !,FALSE
163,qjdesMYz,wind beater,"Strong, Big, Big Blades That Cut Wind And Eat The Snow.",FALSE
164,NcErJGZP,snowcifer,Because snow is evil,FALSE
165,YcDU5o8k,snowy mcsnow-plow,It's deeply personal and prefer not to reveal more information related to it.,FALSE
166,Ff2n6jlw,snow beast,Carolina a few years ago.,FALSE
167,7CVRArQM,mean marlene,I love snow,FALSE
168,vAzt0C5o,plowy mcplowface,This is what happens when you ask people to name things.,FALSE
169,NcErJGZP,salty the plow,We are the salt city,FALSE
170,qjdesMYz,blade gutter,"Strength, Big.",FALSE
171,88DDomKN,plowy mcplowface,Awesomeness,FALSE
172,71BqeTe9,sodium chlo-ride or die,Salt (sodium chloride) + ride or die     haha,FALSE
173,FIxg0g1J,snow crusher,Sounds cool,FALSE
174,U3GRTRRZ,willie,beloved cat,FALSE
175,5yN2vmuZ,mr. plow,"In a famous Simpsons episode, Homer buys a snow plow and becomes ""Mr. Plow"".",FALSE
176,wOrKO7XI,plowy mcplowface,It represents the positive spirit required to survive the winter,FALSE
177,BLDUcRSj,blizzarro,Super hero snow plow conquers fiercest CNY blizzards!,FALSE
178,qjdesMYz,journey onn,"Biggest Challenges, A Journey Behind The Job",FALSE
179,aLRJMOa6,vanilla ice,It is a reference to a greater time and a song many of us know the chorus to!,FALSE
180,mrWPyVLQ,plowy mcplowface,It's just fun,FALSE
181,oOGRPeXC,snowy mcsnowplow,chosen.,FALSE
182,CcqttyBb,plowy mcplowface,Plows are neat,FALSE
183,qjdesMYz,pounding steel,Strength,FALSE
184,pwq8anMd,snowy mcsnowplow,Snowy is a friendly name and McSnowplow is the logical name of his clan,FALSE
185,wOrKO7XI,quit complaining,People should stop complaining so muc.,FALSE
186,qjdesMYz,sparky,Blade Sparks Of Power.,FALSE
187,Q3hD6g8N,integrity,The Core of the city,FALSE
188,LGjKvzzp,kilimanjaro,Itï¿½ï¿½ï¿½s peak is always covered with snow.  Just like Syracuse in the w,FALSE
189,qjdesMYz,diesel strength,Power Of The Engine,FALSE
190,rQ6LtQnv,mr. plow,Great Simpson's episode one of the best of all times Mr. Plow vs Plow King,FALSE
191,9CrLTTKS,young jeezy,Young Jeezy is the Snow Man,FALSE
192,qjdesMYz,survivor legend,Thinking of our men and woman behind the wheel keeping the roads clear.,FALSE
193,vIOS37ya,jocko,Jocko Collins - DPW,TRUE
194,9NDdQzZD,ol' cartwright,street in our neighborhood. Not because he needed it cleared but because he liked to see me suffer. I've had difficulty walking,FALSE
195,qjdesMYz,forever freedom,All the men and woman that served our country for us to still be here.,FALSE
196,wOrKO7XI,allway late,The plows are always late!,FALSE
197,Q8xqzga5,plows mcplowface,Great name for a plow,FALSE
198,HXqTYLOR,van duyn champs,"Achieving, Motivated, Persistent, Scholarly and Safe.. just like a snow plow! They deserve to have a snow plow named after",FALSE
199,Q3hD6g8N,perseverance,"The ""never quitting"" attitude of the DPW and CNY community",FALSE
200,69cowpA5,luchador de nieve,Wrestler of Snow,FALSE
201,UPswAF0K,mr. plow,It's a Simpson's TV show reference,FALSE
202,Q3hD6g8N,eli harris,Honoring a local legend.,FALSE
203,UPswAF0K,snow day ruiner,Plowed streets keep the schools open.,FALSE
204,5PmCqwUX,mr. beast,"We need ""beast"" trucks to get through the winter here",FALSE
205,lnMrkdrB,snow e. banks,NA,FALSE
206,7jMepgD6,plowy mcplowface,Catchy and funny,FALSE
207,UPswAF0K,don't be salty,"play on the phrase when someone is upset, but also it gets the roads salty",FALSE
208,kdp7VyxL,olaf,The animated snowman in Disneyï¿½ï¿½ï¿½s ï¿½ï¿½,FALSE
209,NCLHaoRh,valentine,I just think the world needs more love!,FALSE
210,3AXAurs6,juggernaut,"a massive inexorable force, campaign, movement, or object that crushes whatever is in its path",FALSE
211,Q3hD6g8N,humble,The gift all CNY'S feel when Spring arrives,FALSE
212,kdp7VyxL,rudolph,Santaï¿½ï¿½ï¿½s leading Re,FALSE
213,adhDDY2B,jim plowheim,"deserves, especially considering the NCAA took away his wins. Pick this name so Jim Boeheim can clear the roads to a second",FALSE
214,wOrKO7XI,plowy mc plowface,Itï¿½ï¿½ï¿½s funny and descr,FALSE
215,Q3hD6g8N,jubilation,Feeling Syracusians has when roads are passable,FALSE
216,rRYEpTbT,plowy mcplow face,Itï¿½ï¿½ï¿½s hil,FALSE
217,cuakCZHD,plowy mcplowerson,It fits,FALSE
218,wOrKO7XI,jim boeheim and the two-three zone,Itï¿½ï¿½ï¿½s Sy,FALSE
219,Q3hD6g8N,john,Everyone has a John in their families,FALSE
220,ulnKfF5m,gunther,Name of my friends car,FALSE
221,48emKg63,lake effect crusher,The DPW does a great job of getting rid of snow -- these new plows will crush whatever Lake Ontario drops on the city!,TRUE
222,Q3hD6g8N,mary nelson,Honoring a very special lady that plows through inadequacy in our Community.,FALSE
223,SybdI4xh,snow blaster,"Syracuse takes the winter snow and doesn't just plow through it, we blast it",FALSE
224,Q3hD6g8N,pow/mia,Honors those we hold dear. Respectfully remembered.,FALSE
225,lKwMBzzp,salt city power,The city is the salt city and the plows are the power,FALSE
226,ABudxosE,plowy mcplowface,smile in 2020.,FALSE
227,RsdGeu8A,plowy mcplowface,Excellent name,FALSE
228,Q3hD6g8N,sally,"""Sally from Syracuse""",FALSE
229,POTDRzD9,syracuse salt shaker,Salt City,FALSE
230,mHilBQV7,plowy mcplowface,Itï¿½ï¿½ï¿½s the obvious ,FALSE
231,Q3hD6g8N,robin,"When the Robin's return, spring is near!",FALSE
232,POTDRzD9,salt city shaker,Syracuse is the salt city,FALSE
233,r5FvcW1i,snowmageddon,It brings an end to the snowy roads,FALSE
234,sY7AedXT,plow to glory,The plow blade clears a path to glory (10th Mountain Division),FALSE
235,qkG2NOsn,bruno,Itï¿½ï¿½ï¿½s my nickname and it represents strength and never letting anything get in my,FALSE
236,KATSmYLW,bluto,Mean and direct,FALSE
237,Ug1VXhN6,santa's little helper,Simpson's reference! plus the plow is probably not little,FALSE
238,29QHwnar,snow blazer,Because Syracuse always blazes thought the snow,FALSE
239,3bREYE0B,plowy mcplowface,"It has a very plowy face, donï¿½ï¿½ï¿½t you ",FALSE
240,r2Azn2LB,big plow,These plows are big,FALSE
241,qjdesMYz,yellow strong,Everyday Service To Our Kids In School Driving The Big Yellow Bus.,FALSE
242,VYrGAF7e,the salt city scraper,Sryacuse is know as the salt city so it makes sense and snow plows do scrap.,FALSE
243,onlAYpAM,old man marley,The guy that took care of the sidewalks etc in Home Alone,FALSE
244,w2FsRkc5,blizzard buster,"They move all the snow so the storms can't stop us! (Also, this is a fun contest idea!)",FALSE
245,fjafiRjH,pandering,our local leaders pander to communist organizations,FALSE
246,AG0iH4qf,plowy mcplowface,NA,FALSE
247,8ERwOqB7,syracuse snow patrol,They will always on the lookout for snow,FALSE
248,F1SBJxZ7,sir salts-a-lot,famous hip-hop artist from the early 1990's.,FALSE
249,UKlROp92,plowy mcplowface,It's cool,FALSE
250,8ERwOqB7,team snow,It's different,FALSE
251,0PFbZsgV,plowy mcplowface,Itï¿½ï¿½ï¿½s,FALSE
252,dRZR72hs,david plowie,NA,FALSE
253,q4LjrKmO,snow day,It is the 2000 movie that used Syracuse as the city it was in,FALSE
254,M4FLS7nn,plowy mcplowface,Itï¿½ï¿½ï¿½s just the perfec,FALSE
255,UNgcDtFf,snowy mcplowface,Itï¿½ï¿½ï¿½s just a great plow,FALSE
256,KoKzJlFY,professor turd commander,Just seems like an awesome name for a plow.,FALSE
257,cUO6lADt,plow-a-cuse,Play on the name of our City,FALSE
258,Ga2Prd1F,fiorella,Little Flower,FALSE
259,f6NNYBdj,frosty the snowplow,Classic movie for the season,FALSE
260,wOrKO7XI,snowy mcsnowface,NA,FALSE
261,id4nkFPC,bestia ( spanish name),BEAST(English) Because they work as beasts to help us move within our  community,FALSE
262,lgRz6ZpV,terror,It was the name of a ship searching for the Northwest Passage,FALSE
263,f6NNYBdj,124 inches,Syracuse average snowfall,FALSE
264,h4IPai9U,old yeller,The snow plow blades are yellow and it sounds classic,FALSE
265,cpR8ABtH,schlecht gefuhrte stadt,Poorly managed city,FALSE
266,QYVlg8BS,david plowie,Tribute to a great singer that also makes me laugh,FALSE
267,9tUOJEWs,plowy mcplowface,Deeply sentimental,FALSE
268,FWae8w3K,poseidon,God of the Sea,FALSE
269,MA5tAmKR,plowy mcplowface,Plows snow out of your way,FALSE
270,Z9aIejgM,plowy mcplowface,Inspired by Boaty McBoatFace.,FALSE
271,8SAnyLOw,busta banks,Hey. You get it.,FALSE
272,WG5RwM3J,plowy mcplowface,NA,FALSE
273,1DC4LyiF,snowy mcsnowface,Self-explanatory,FALSE
274,OfvzILfB,i love being plowed,Spiritual,FALSE
275,RF6GV9j1,snow way,like no way but the snow and it's in the way but now it isn't haha get it....,FALSE
276,RF6GV9j1,david plowie,like david bowie but plowie,FALSE
277,d4hmiPON,storm trooper,"No meaning, just sounds good!",FALSE
278,OBwUROWy,plowy mcplowface,winter for all of us.,FALSE
279,GJ3zNmMe,thunder god of snow,god of snow,FALSE
280,wOrKO7XI,kristin,NA,FALSE
281,Z7s3N4L4,golden snowball,Named after the award given to the snowiest places.,TRUE
282,bXv7fz8Q,plowly mcplowface,Snow plow,FALSE
283,tWMunvXu,bertha,Strong,FALSE
284,Z7s3N4L4,katie the big snow,Hopefully it will encourage kids to read.,FALSE
285,5tC2k8rA,power plower or salty beast,Snow plows are mighty in power and they help keep the streets from being slippery.,FALSE
286,hgbm51Df,the velvet underplow or sweet jane,and his connection to Syracuse.,FALSE
287,UGWgRp7j,salty,snow plows put down salt to keep the streets safe,FALSE
288,gd2GFmo3,the golden shovel,"We win the golden snowball  regularly, why not celebrate the other thing we probably do more of than anyone?!",FALSE
289,6gLTvXVc,snow crusher,powerful snow remover,FALSE
290,Z8SNeZ4Z,plowy mcplowface,Itï¿½ï¿½ï¿½s a naming tra,FALSE
291,fDQkwzF3,the hill city  chugger,there are lots of hills and the plows chug up the hill,FALSE
292,uDkAziVl,plowey mcsnowplow,hilarious,FALSE
293,9PWYreIQ,mr salty,Self explanatory,FALSE
294,koDUkaJB,salty,We're the salt city and the roads will be salty.,FALSE
295,TxRz1wG2,"the wild beast""","Ferocious, determined and Strong against heavy snow!",FALSE
296,mvibAVWn,spirit of 66,The famous Syracuse Blizzard in January 1966,FALSE
297,T6DqLP7V,"snow white, or the snow beast",snow is white and plows clear snow,FALSE
298,tojDzAr8,stormy,Because they are used to clear out the winter storms,FALSE
299,1DC4LyiF,salt city salter,"Syracuse is the Salt City, and the truck salts the roads",FALSE
300,VYrGAF7e,snow bluster buster,We get lots of snow and that's what plows do bust through the snow,FALSE
301,1DC4LyiF,sir scrapesalot,Play on Sir Mixalot. Because it scrapes the roads. A lot.,FALSE
302,riNlDKHv,no snow slammer,remove it quickly,FALSE
303,1DC4LyiF,the ice clown,"Reference to the ""Ice Town"" episode of Parks & Recreation",FALSE
304,fDQkwzF3,lake effect larry,Well we get the lake effect snow,FALSE
305,mvibAVWn,the lett,The Lake Effect Terminator Truck,FALSE
306,XWDHR10X,snow miser,Since Syracuse is known for their winters I think Snow Miser is fitting plus who doesnï¿½ï¿½ï¿½t love The Year Without Santa ,FALSE
307,TxRz1wG2,"the crusher""",To press or squeeze with a force that destroys or deforms heavy snow.,FALSE
308,TWArgXrm,mr. plow,Simpsons Reference,FALSE
309,vyxHHOJx,subzero hero,Pretty much sums up the kind of working conditions the plow drivers work in.,FALSE
310,v38yznT5,big orange,Cuse fan,FALSE
311,TxRz1wG2,"the annihilator""",To destroy heavy snow completely,FALSE
312,1F0rsmt9,official were elected to do.,DISTRICT?,FALSE
313,weTHotLx,blitzen,Santa's reindeer,FALSE
314,IDFQVFVU,plowy mcsandsalt,A fitting version of a recent trend in naming new objects that began in the UK,FALSE
315,eTTnWJjM,drift dasher,Able to move enormous drifts with a single pass!,FALSE
316,t80NFWzo,black lives matter,Support activism.,FALSE
317,wOrKO7XI,covid 19? we donï¿½ï¿½ï¿½t need no stinking,"We see city works all the time with no masks, hard hats, wearing shorts? Not very safe.",FALSE
318,Cxz6nIBT,bobcat,Actor/Comedian Bobcat Goldthwait is a Syracuse native.,FALSE
319,OeJJX2ij,katie,https://youtu.be/cDpLrV8CKZc  Here is a video of it read aloud.,FALSE
320,Cxz6nIBT,plow newman,I like puns,FALSE
321,ZPdmabU1,plowy mcplowface,NA,FALSE
322,Cxz6nIBT,andre plower,I like puns,FALSE
323,xzmNsjIj,big beefy boi,I like it,FALSE
324,UnbDPBa5,cuse crawler,"When I see the snow plows around town, I feel like they represent Syracuse as the ""snowiest place!""",FALSE
325,OfvzILfB,salt city express,It fits with the history of Syracuse and express would be clearing the path so we can all get around.,TRUE
326,sVWnIJgb,lyncourt,sometimes get overlooked!,FALSE
327,oQiesKFk,plowy mcplowface,It is appropriate,FALSE
328,T1oey0BU,plowy mcplowface,Boaty mcboatface,FALSE
329,mXY0TVe9,mister plow,"the classic simpsons episode, it even comes with it's own theme song",FALSE
330,qr2czwTC,snowpiercer,"It's a dope movie, but also come on - that's a great name for a snowplow.",FALSE
331,Ev6EzAMT,"joseph, or bonaparte",The trucks were prepped in Harrisville New York Near Lake Bonaparte named after Joseph Bonaparte who once lived in the area,FALSE
332,KJdzy2ty,this truck plows,don't be naive,FALSE
333,wOrKO7XI,plow wreck #1  through #10,"because the will destroy them anyway do you look at the condition of city owned equipment, terrible.",FALSE
334,ZW1KsLww,snow commander,Nothing particular. Just sounds good.,FALSE
335,5k7fZZhu,salty mcplowface,"Salt City, sounds Irish.",FALSE
336,pxwb5FTL,snowy mcsnowface,Tradition of joke names,FALSE
337,wOrKO7XI,NA,NA,NA
338,hYEoDO2V,blizzard wizard,truly embarrassed by their teacher's creativity.,FALSE
339,lGNVb2Ah,zombie snow eradicator,would love to have the Zombie Snow Eradicator coming down their street.,FALSE
340,mXY0TVe9,chairman plow,"because it sounds like chairman mao and that guy rocked, had some great ideas about landlords",FALSE
341,FuMIf5k0,grit,weather CNY winters.,FALSE
